ID,Name,Value,Category
1,uidCF,9319,B
2,YgHvt,609,C
3,uIDBq,2319,C
4,iWcxR,4901,B
5,wJkok,9690,B
6,KMpVt,7954,D
7,EHDPM,1149,C
8,uwDDV,2979,C
9,cHaEV,9629,C
10,FyzHT,6645,D
11,YRNCi,4738,A
12,dPehW,8931,B
13,NlJJY,5589,D
14,IVPfr,3299,B
15,ZVaWR,1759,D
16,kILCE,367,D
17,VqAoO,4375,D
18,AImqA,5155,D
19,VlWfi,6729,C
20,jUGAF,561,C
21,Kgkgu,3578,D
22,sBzQu,4865,C
23,THGtA,6430,A
24,EmEan,9996,D
25,ZEurf,4980,C
26,zzgDD,1336,A
27,tURIt,5925,A
28,nMlIW,1494,B
29,SxDpq,9883,C
30,jladE,7533,B
31,oACSQ,8280,C
32,QZPLX,4233,D
33,VTZPY,1308,B
34,UlULU,7133,D
35,gMwcE,463,A
36,SFJix,6199,C
37,UdKKt,8437,B
38,EsmJl,4923,A
39,McWvm,3242,D
40,GdJga,1475,B
41,worhE,9695,B
42,FMuRX,503,D
43,ADVJA,9677,C
44,GwnXv,2891,A
45,Vkodx,7918,D
46,szvPR,3301,D
47,WjChK,4853,D
48,OUnEw,9075,B
49,TCUQs,7451,C
50,hhYaB,911,D
51,fKOHV,3322,A
52,DSkQm,9692,C
53,TwjfJ,4588,D
54,mABZh,4651,C
55,xAvUC,3952,A
56,PyWyr,3980,A
57,xRTNQ,9826,D
58,ySHvT,8324,B
59,zLVlE,3445,C
60,UImxD,2601,D
